codigo;descripcion;categoria
000100;ELEM MEDICO A CODIFICAR;Sin clasificar
000200;ELEMENTO DENEGADO;Sin clasificar
010000;NEUROQUIRURGICAS;Sin clasificar
010100;CLIPS P/ANEURISMA;Neurocirugía
010101;CLIPS P/ANEURISMA CER.TRANS/DEF T.MODEL;Neurocirugía
010200;VALVULAS DE TITANIO PARA HIDROCEFALIA;Neurología
010202;DRENAJE EXTERNO VENTRICULAR C/SIST.ANTI;CX General
010203;SISTEMA P/PLASTICA CRANEAL C/CEMENTO;Neurología
010204;SISTEMA NEURO ESTIMULADOR IMPLANTABLE;Neurología
010208;SISTEMA DRENAJE VENTRIC C/CAT EN ANTIB.;Neurología
010209;DRENAJE VENTRIC EXT C/CAT VENTR GRADUAD;Neurología
010215;GRAMPAS PARA CRANEOPLASTIA NAC.;Neurología
010216;GRAMPAS PARA CRANEOPLASTIA IMP.;Neurología
010218;VALVULAS DE DERIVACION VENTRICULO PERITONEAL (DVP);CX General
010219;ALQUILER MARCO ESTEREOTAXICO;Neurocirugía
010220;ALQUILER DE INSTRUMENTAL QIRÚRGICO;CX General
010221;VALVULA P/ HIDROCEFALIA PRESION FIJA BAJA MEDIA AL;Neurología
010222;VALVULA PARA HIDROCEFALIA AUTORREGULABLE;Neurología
010223;VALVULA PARA HIDROCEFALIA REGULABLE EXTERNA;Neurología
010300;TRAQUEOFLEX/CANULA TRAQUEOSTOMIA;CX General
010400;FIBRA OPTICA;Sin clasificar
010401;SET DE PRESION INTRACRANEANA IMP;Neurología
010402;FIBRA DE PIC PARA MEDICION INTRAPARENQUIMATOSA IMP;Neurología
010403;FIBRA DE PIC PARA MEDICION INTRAVENTRICULAR IMP;Neurología
010500;MALLA DE TITANIO PARA CRANEOPLASTIA;Neurología
010501;CASCO ORTOPEDICO;Ortopedia y Movilidad
010600;PARCHE DE DURAMADRE;Neurología
010601;PARCHE DE DURAMADRE 7,5 X 7,5 APROX MP;Neurología
010602;PARCHE DE DURAMADRE 10 X 10 APROX IMP;Neurología
010603;PARCHE DE DURAMADRE 10 X 15 APROX IMP;Neurología
010604;PARCHE DURAMADRE DE 5 X 5 APROX. NAC.;Neurología
010605;PARCHE DURAMADRE DE 5 X 5 APROX. IMP.;Neurología
010606;PARCHE DURA MADRE MEDIANO (HASTA 10X10) NAC;Neurología
010607;PARCHE DURA MADRE GRANDE (MAYOR 10X10) NAC;Neurología
010700;OSTEOSET C/INST Y SET COL A PRESTAMO;Osteosíntesis
011100;COLAGENO REABSOR (DYRAGEN);Neurología
011200;DISTRACTOR PARA CRANEOESTENOSIS;Neurología
011201;DISTRACTOR INTRAORAL MAXILAR SUPERIOR TODAS LAS ME;Osteosíntesis
011202;DISTRACTOR INTRAORAL MAXILAR INFERIOR TODAS LAS ME;Osteosíntesis
011203;DISTRACTOR PALATINO TODAS LAS MEDIDAS;Osteosíntesis
011600;CIERRE PARA CRANEOSPLATIA DE TITANIO IMP;Neurología
011601;CIERRE PARA CRANEOPLASTIA DE PEEK;Neurología
011602;CIERRE P/CRANEOPLASTIA DE TITANIO (H 3 PLACAS) NAC;Neurología
011603;CIERRE P/CRANEOPLASTIA DE TITANIO (H 3 PLACAS) IMP;Neurología
011800;SET DE CRANEOSTOMIA BIODEG PEDIATRICO;Neurología
011801;PROTESIS DE CIERRE DE SILLA TURCA;Neurología
011802;HALO CEFALICO CON CHALECO;Neurología
011803;SISTEMA DE TRACCION HALO SILLA - HALO CAMA;Neurología
020100;PROTESIS OCULARES;Oftalmología
020101;PROTESIS OCULAR OJO IZQUIERDO;Oftalmología
020102;PROTESIS OCULAR OJO DERECHO;Oftalmología
020200;SUTURAS OCULARES;Oftalmología
020201;SUTURA REABSORBIBLE DE ACIDO POLIGLICOLICO O POLIG;Oftalmología
020202;SUTURA NO REABSORBIBLE DE SEDA DE DISTINTOS DIAMET;Oftalmología
020203;SUTURA NO REABSORBIBLE DE NYLON DE DISTINTOS DIAME;Oftalmología
020300;BANDAS DE SILICONAS;Oftalmología
020301;PERFLUOROCARBONO 100% FLUORADO LIQUIDO (VIAL) PARA;Oftalmología
020302;AMPOLLAS DE ACEITE DE SILICONA;Oftalmología
020303;ESPONJA DE SILICONA (3X5 MM Y OTRAS MEDIDAS) PARA;Oftalmología
020400;LENTE INTRAOCULAR Y ELEMENTOS;Oftalmología
020401;L.I.O. OJO DERECHO Y ELEMENTOS;Oftalmología
020402;L.I.O. OJO IZQUIERDO Y ELEMENTOS;Oftalmología
020403;LENTE INTRAOCULAR OJO DERECHO;Oftalmología
020404;LENTE INTRAOCULAR OJO IZQUIERDO;Oftalmología
020405;L.I.O OD MONOFOCAL ACRILICO HIDROFILICO;Oftalmología
020406;L.I.O OI MONOFOCAL ACRILICO HIDROFILICO;Oftalmología
020500;SUSTANCIA VISCOELASTICA;Oftalmología
020701;LENTE P/VISION SUBNORMAL;Oftalmología
020704;INSUMOS DE CIRUGÍAS DE CATARATAS;Oftalmología
020718;DISPOSITIVO DE COMUNICACION CON VISUAL;Sin clasificar
020719;DISPOSITIVO MAGNIFICADOR PARA BAJA VISIÓN;Oftalmología
021101;SET TUBULADURA P/VITRECTOMIA;Oftalmología
021200;SET DE INTUBACION BICANALICULAR;CX General
021201;LENTE TERAUPEUTICO;Oftalmología
021202;VALVULA DE AMHED;Oftalmología
021203;SET DE TUBULADURA;Oftalmología
021204;OCLUSOR O TAPON LAGRIMAL DE SILICONA TIPO PUNCTUM;Oftalmología
021205;OCLUSOR LAGRIMAL TIPO PAINLESS PUG;Oftalmología
021300;CASCARILLA;Oftalmología
021400;TREPANO DONANTE Y RECEPTOR;Oftalmología
021401;TRÉPANO DE CÓRNEA DONANTE;Oftalmología
021402;TRÉPANO DE CÓRNEA RECEPTOR;Oftalmología
021500;ANILLOS INTRACORNEALES;Oftalmología
030001;VALVULA DE FONACION (MARCAS/MODELOS);CX General
030003;OXIMETRO PULSO PORTATIL CON/SIN ALARMA;CX General
030004;OXIMETRO DE PULSO FIJO (CON MONITOR NEONATAL, PEDI;CX General
030005;ASPIRADOR DE SECRECIONES PORTATIL;CX General
030006;ASPIRADOR DE SECRECIONES FIJO (A PISTON);CX General
030007;NEBULIZADOR PARA TRAQUEOSTOMIA;CX General
030008;NEBULIZADOR FIJO;CX General
030009;NEBULIZADOR DEVILBISS (TODOS LOS MODELOS);CX General
030100;AUDIFONOS;Audiología
030101;AUDIFONOS AMBOS OIDOS;Audiología
030102;AUDIFONO OIDO DERECHO;Audiología
030103;AUDIFONO OIDO IZQUIERDO;Audiología
030104;AUDIFONO B.A.H.A. CON VINCHA;Audiología
030110;PILAS DE AUDÍFONOS;Audiología
030111;PASTILLAS DESHUMIDIFICADORAS PARA AUDÍFONOS;Audiología
030112;ACCESORIO PARA AUDIFONO;Audiología
030200;DIABOLOS Y TUBOS DE VENT.P/OIDO MEDIO;CX General
030201;VALVULA VENTIL OTICA(DIABOLO)SILIC/FLUO;CX General
030300;PROTESIS PARA OIDO MEDIO;Audiología
030400;EQUIPO IMPLANTE COCLEAR;Audiología
030401;CALIBRACION DEL IMP.COCLEAR;Audiología
030402;PILAS P/IMPLANTE COCLEAR/PASTILLA DESHU;CX General
030403;REPARACION IMPLANTE COCLEAR;Audiología
030404;CABLE PARA IMPLANTE COCLEAR;Audiología
030407;PASTILLAS DESHUMIFICADORAS;Audiología
030408;ACCESORIOS PARA IMPLANTE COCLEAR;Audiología
030409;BATERIAS PARA IMPLANTE COCLEAR;Audiología
030410;BOBINA PARA IMPLANTE COCLEAR;Audiología
030411;FILTROS PARA MICROFONOS (IMPLANTE COCLEAR);Audiología
030500;NEBULIZADOR Y ASPIRADOR;CX General
030600;PROTESIS AURICULAR;CX General
030700;LARINGOFONO;CX General
030800;FILTROS PARA LARINGUECTOMIZADOS;CX General
030900;SET TRAQUEOSTOMIA;CX General
030901;SET DE TRAQUEOSTOMIA PERCUTANEA;CX General
031100;SONDA PARA ASPIRACION DE TRAQUEOTOMIA;CX General
031101;FILTRO PARA TRAQUEOTOMIA;CX General
031106;TUBO EN T DE MONTGOMERY;CX General
031200;REPARACION DE AUDIFONO;Audiología
031300;CHALECO VIBRATORIO;CX General
040108;PERNO MUÑON SIMPLE;CX General
050101;TUBO ENDOTRAQUEAL SELECTIVO;CX General
060120;COMPRAS - PROTESIS MAMARIA TERMOCONFORMADA EXTERNA;CX General
060200;PROTESIS MAMARIA SILICONADA INTERNA;CX General
060201;PROTESIS MAMARIA SILICONADA INTERNA REDONDA LISA;CX General
060300;PROT EXTERNA RELLENO CORP SILICONADA;CX General
